,id,kingdom,phylum,class,order,family,genus,species,filename
32,699777,1,1,2,3,3,12,12,/mnt/research/xprize/plant-training-data/plants_photos/original/699777_original.jpg
33,699778,1,1,2,3,3,12,12,/mnt/research/xprize/plant-training-data/plants_photos/original/699778_original.jpg
34,699779,1,1,1,6,8,13,13,/mnt/research/xprize/plant-training-data/plants_photos/original/699779_original.jpg
35,699780,1,1,1,6,8,13,13,/mnt/research/xprize/plant-training-data/plants_photos/original/699780_original.jpg
36,699781,1,1,1,6,8,13,13,/mnt/research/xprize/plant-training-data/plants_photos/original/699781_original.jpg
37,699782,1,1,1,6,8,13,13,/mnt/research/xprize/plant-training-data/plants_photos/original/699782_original.jpg
38,699783,1,1,1,6,8,13,13,/mnt/research/xprize/plant-training-data/plants_photos/original/699783_original.jpg
39,699784,1,1,1,1,1,6,6,/mnt/research/xprize/plant-training-data/plants_photos/original/699784_original.jpg
40,699826,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/699826_original.jpg
41,699833,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/699833_original.jpg
42,699834,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/699834_original.jpg
43,699841,1,1,1,8,10,15,15,/mnt/research/xprize/plant-training-data/plants_photos/original/699841_original.jpg
44,699845,1,1,1,8,10,15,15,/mnt/research/xprize/plant-training-data/plants_photos/original/699845_original.jpg
45,699950,1,1,1,1,1,6,6,/mnt/research/xprize/plant-training-data/plants_photos/original/699950_original.jpg
46,699951,1,1,1,5,11,16,16,/mnt/research/xprize/plant-training-data/plants_photos/original/699951_original.jpg
47,699952,1,1,1,5,11,16,16,/mnt/research/xprize/plant-training-data/plants_photos/original/699952_original.jpg
48,699953,1,1,1,1,1,17,17,/mnt/research/xprize/plant-training-data/plants_photos/original/699953_original.jpg
49,699957,1,1,1,4,5,18,18,/mnt/research/xprize/plant-training-data/plants_photos/original/699957_original.jpg
50,699958,1,1,1,4,5,18,18,/mnt/research/xprize/plant-training-data/plants_photos/original/699958_original.jpg
51,699961,1,1,1,5,7,19,19,/mnt/research/xprize/plant-training-data/plants_photos/original/699961_original.jpg
52,699971,1,1,2,9,12,20,20,/mnt/research/xprize/plant-training-data/plants_photos/original/699971_original.jpg
53,699972,1,1,2,9,12,20,20,/mnt/research/xprize/plant-training-data/plants_photos/original/699972_original.jpg
54,700073,1,1,1,10,13,21,21,/mnt/research/xprize/plant-training-data/plants_photos/original/700073_original.jpg
55,700074,1,1,1,10,13,21,21,/mnt/research/xprize/plant-training-data/plants_photos/original/700074_original.jpg
56,700075,1,1,1,5,7,22,22,/mnt/research/xprize/plant-training-data/plants_photos/original/700075_original.jpg
57,700077,1,1,1,5,7,22,23,/mnt/research/xprize/plant-training-data/plants_photos/original/700077_original.jpg
58,700078,1,1,1,5,7,22,23,/mnt/research/xprize/plant-training-data/plants_photos/original/700078_original.jpg
59,700079,1,1,1,5,7,22,23,/mnt/research/xprize/plant-training-data/plants_photos/original/700079_original.jpg
60,700080,1,1,1,11,14,23,24,/mnt/research/xprize/plant-training-data/plants_photos/original/700080_original.jpg
61,700082,1,1,1,2,2,24,25,/mnt/research/xprize/plant-training-data/plants_photos/original/700082_original.jpg
62,700204,1,1,1,12,15,25,26,/mnt/research/xprize/plant-training-data/plants_photos/original/700204_original.jpg
63,700205,1,1,1,12,15,25,26,/mnt/research/xprize/plant-training-data/plants_photos/original/700205_original.jpg
64,700206,1,1,1,12,15,25,26,/mnt/research/xprize/plant-training-data/plants_photos/original/700206_original.jpg
65,700208,1,1,1,13,16,26,27,/mnt/research/xprize/plant-training-data/plants_photos/original/700208_original.jpg
66,700209,1,1,1,1,1,6,28,/mnt/research/xprize/plant-training-data/plants_photos/original/700209_original.jpg
67,700215,1,1,1,7,17,27,29,/mnt/research/xprize/plant-training-data/plants_photos/original/700215_original.jpg
68,700219,1,1,1,7,18,28,30,/mnt/research/xprize/plant-training-data/plants_photos/original/700219_original.jpg
69,700220,1,1,1,6,8,29,31,/mnt/research/xprize/plant-training-data/plants_photos/original/700220_original.jpg
70,700388,1,1,2,14,19,30,32,/mnt/research/xprize/plant-training-data/plants_photos/original/700388_original.jpg
71,700391,1,1,3,15,20,31,33,/mnt/research/xprize/plant-training-data/plants_photos/original/700391_original.jpg
72,700393,1,1,1,4,5,18,18,/mnt/research/xprize/plant-training-data/plants_photos/original/700393_original.jpg
73,700394,1,1,1,4,5,32,34,/mnt/research/xprize/plant-training-data/plants_photos/original/700394_original.jpg
74,700395,1,1,1,4,5,32,34,/mnt/research/xprize/plant-training-data/plants_photos/original/700395_original.jpg
75,700396,1,1,1,2,2,33,35,/mnt/research/xprize/plant-training-data/plants_photos/original/700396_original.jpg
76,700397,1,1,1,4,5,34,36,/mnt/research/xprize/plant-training-data/plants_photos/original/700397_original.jpg
77,700398,1,1,1,12,15,35,37,/mnt/research/xprize/plant-training-data/plants_photos/original/700398_original.jpg
78,700399,1,1,1,12,15,35,37,/mnt/research/xprize/plant-training-data/plants_photos/original/700399_original.jpg
79,700400,1,1,1,2,2,36,38,/mnt/research/xprize/plant-training-data/plants_photos/original/700400_original.jpg
80,700404,1,1,1,1,1,37,39,/mnt/research/xprize/plant-training-data/plants_photos/original/700404_original.jpg
81,700409,1,1,1,4,5,38,40,/mnt/research/xprize/plant-training-data/plants_photos/original/700409_original.jpg
82,700410,1,1,1,4,5,39,41,/mnt/research/xprize/plant-training-data/plants_photos/original/700410_original.jpg
83,700419,1,1,1,7,21,40,42,/mnt/research/xprize/plant-training-data/plants_photos/original/700419_original.jpg
84,700420,1,1,1,16,22,41,43,/mnt/research/xprize/plant-training-data/plants_photos/original/700420_original.jpg
85,700422,1,1,1,7,9,14,44,/mnt/research/xprize/plant-training-data/plants_photos/original/700422_original.jpg
86,700427,1,1,1,6,23,42,45,/mnt/research/xprize/plant-training-data/plants_photos/original/700427_original.jpg
87,700434,1,1,1,7,24,43,46,/mnt/research/xprize/plant-training-data/plants_photos/original/700434_original.jpg
88,700436,1,1,1,5,11,44,47,/mnt/research/xprize/plant-training-data/plants_photos/original/700436_original.jpg
89,700437,1,1,1,5,11,44,47,/mnt/research/xprize/plant-training-data/plants_photos/original/700437_original.jpg
90,700438,1,1,1,7,21,40,42,/mnt/research/xprize/plant-training-data/plants_photos/original/700438_original.jpg
91,700441,1,1,1,1,1,45,48,/mnt/research/xprize/plant-training-data/plants_photos/original/700441_original.jpg
92,700442,1,1,1,1,1,46,49,/mnt/research/xprize/plant-training-data/plants_photos/original/700442_original.jpg
93,700448,1,1,1,5,25,47,50,/mnt/research/xprize/plant-training-data/plants_photos/original/700448_original.jpg
94,700450,1,1,1,2,26,48,51,/mnt/research/xprize/plant-training-data/plants_photos/original/700450_original.jpg
95,700453,1,1,1,17,27,49,52,/mnt/research/xprize/plant-training-data/plants_photos/original/700453_original.jpg
96,700454,1,1,1,18,28,50,53,/mnt/research/xprize/plant-training-data/plants_photos/original/700454_original.jpg
97,700457,1,1,1,5,7,11,54,/mnt/research/xprize/plant-training-data/plants_photos/original/700457_original.jpg
98,700458,1,1,1,10,29,51,55,/mnt/research/xprize/plant-training-data/plants_photos/original/700458_original.jpg
99,700459,1,1,1,1,1,52,56,/mnt/research/xprize/plant-training-data/plants_photos/original/700459_original.jpg
100,700702,1,1,1,1,1,53,57,/mnt/research/xprize/plant-training-data/plants_photos/original/700702_original.jpg
101,700703,1,1,2,3,4,54,58,/mnt/research/xprize/plant-training-data/plants_photos/original/700703_original.jpg
102,700704,1,1,1,10,29,55,59,/mnt/research/xprize/plant-training-data/plants_photos/original/700704_original.jpg
103,700705,1,1,1,19,30,56,60,/mnt/research/xprize/plant-training-data/plants_photos/original/700705_original.jpg
104,700708,1,1,1,18,31,57,61,/mnt/research/xprize/plant-training-data/plants_photos/original/700708_original.jpg
105,700709,1,1,1,18,31,57,61,/mnt/research/xprize/plant-training-data/plants_photos/original/700709_original.jpg
106,700711,1,1,1,5,7,10,62,/mnt/research/xprize/plant-training-data/plants_photos/original/700711_original.jpg
107,700714,1,1,1,10,32,58,63,/mnt/research/xprize/plant-training-data/plants_photos/original/700714_original.jpg
108,700716,1,1,1,1,1,59,64,/mnt/research/xprize/plant-training-data/plants_photos/original/700716_original.jpg
109,700717,1,1,1,5,33,60,65,/mnt/research/xprize/plant-training-data/plants_photos/original/700717_original.jpg
110,700718,1,1,1,10,34,61,66,/mnt/research/xprize/plant-training-data/plants_photos/original/700718_original.jpg
111,700719,1,1,1,1,1,62,67,/mnt/research/xprize/plant-training-data/plants_photos/original/700719_original.jpg
112,700721,1,1,1,20,35,63,68,/mnt/research/xprize/plant-training-data/plants_photos/original/700721_original.jpg
113,700722,1,1,1,2,2,64,69,/mnt/research/xprize/plant-training-data/plants_photos/original/700722_original.jpg
114,700723,1,1,1,19,30,65,70,/mnt/research/xprize/plant-training-data/plants_photos/original/700723_original.jpg
115,700724,1,1,1,20,36,66,71,/mnt/research/xprize/plant-training-data/plants_photos/original/700724_original.jpg
116,700731,1,1,2,14,19,67,72,/mnt/research/xprize/plant-training-data/plants_photos/original/700731_original.jpg
117,700736,1,1,1,18,31,57,73,/mnt/research/xprize/plant-training-data/plants_photos/original/700736_original.jpg
118,700753,1,1,1,4,5,68,74,/mnt/research/xprize/plant-training-data/plants_photos/original/700753_original.jpg
119,700754,1,1,2,21,37,69,75,/mnt/research/xprize/plant-training-data/plants_photos/original/700754_original.jpg
120,700755,1,1,1,22,38,70,76,/mnt/research/xprize/plant-training-data/plants_photos/original/700755_original.jpg
121,700771,1,1,1,19,39,71,77,/mnt/research/xprize/plant-training-data/plants_photos/original/700771_original.jpg
122,700776,1,1,1,1,1,72,78,/mnt/research/xprize/plant-training-data/plants_photos/original/700776_original.jpg
123,701865,1,1,1,19,30,73,79,/mnt/research/xprize/plant-training-data/plants_photos/original/701865_original.jpg
124,701866,1,1,1,5,25,47,80,/mnt/research/xprize/plant-training-data/plants_photos/original/701866_original.jpg
125,702002,1,1,1,20,35,63,68,/mnt/research/xprize/plant-training-data/plants_photos/original/702002_original.jpg
126,702004,1,1,1,23,40,74,81,/mnt/research/xprize/plant-training-data/plants_photos/original/702004_original.jpg
127,702006,1,1,1,5,33,75,82,/mnt/research/xprize/plant-training-data/plants_photos/original/702006_original.jpg
128,702007,1,1,1,2,26,76,83,/mnt/research/xprize/plant-training-data/plants_photos/original/702007_original.jpg
129,702018,1,1,1,6,8,29,84,/mnt/research/xprize/plant-training-data/plants_photos/original/702018_original.jpg
130,702019,1,1,1,20,41,77,85,/mnt/research/xprize/plant-training-data/plants_photos/original/702019_original.jpg
131,702020,1,1,1,5,42,78,86,/mnt/research/xprize/plant-training-data/plants_photos/original/702020_original.jpg
132,702042,1,1,1,2,2,79,87,/mnt/research/xprize/plant-training-data/plants_photos/original/702042_original.jpg
133,702043,1,1,1,22,38,70,88,/mnt/research/xprize/plant-training-data/plants_photos/original/702043_original.jpg
134,702044,1,1,1,5,33,80,89,/mnt/research/xprize/plant-training-data/plants_photos/original/702044_original.jpg
135,702047,1,1,1,19,30,81,90,/mnt/research/xprize/plant-training-data/plants_photos/original/702047_original.jpg
136,702048,1,1,1,16,43,82,91,/mnt/research/xprize/plant-training-data/plants_photos/original/702048_original.jpg
137,702050,1,1,2,24,44,83,92,/mnt/research/xprize/plant-training-data/plants_photos/original/702050_original.jpg
138,702051,1,1,2,24,44,83,92,/mnt/research/xprize/plant-training-data/plants_photos/original/702051_original.jpg
139,702052,1,1,1,5,33,80,93,/mnt/research/xprize/plant-training-data/plants_photos/original/702052_original.jpg
140,702055,1,1,1,18,45,84,94,/mnt/research/xprize/plant-training-data/plants_photos/original/702055_original.jpg
141,702105,1,1,1,5,7,85,95,/mnt/research/xprize/plant-training-data/plants_photos/original/702105_original.jpg
142,702106,1,1,1,5,7,86,96,/mnt/research/xprize/plant-training-data/plants_photos/original/702106_original.jpg
143,702107,1,1,1,5,7,86,97,/mnt/research/xprize/plant-training-data/plants_photos/original/702107_original.jpg
144,702110,1,1,1,5,7,87,98,/mnt/research/xprize/plant-training-data/plants_photos/original/702110_original.jpg
145,702112,1,1,1,16,43,88,99,/mnt/research/xprize/plant-training-data/plants_photos/original/702112_original.jpg
146,702116,1,1,2,25,46,89,100,/mnt/research/xprize/plant-training-data/plants_photos/original/702116_original.jpg
147,702117,1,1,2,25,46,89,100,/mnt/research/xprize/plant-training-data/plants_photos/original/702117_original.jpg
148,702121,1,1,2,25,47,90,101,/mnt/research/xprize/plant-training-data/plants_photos/original/702121_original.jpg
149,702130,1,1,1,5,7,86,96,/mnt/research/xprize/plant-training-data/plants_photos/original/702130_original.jpg
150,702149,1,1,1,2,2,91,102,/mnt/research/xprize/plant-training-data/plants_photos/original/702149_original.jpg
151,702154,1,1,1,20,41,92,103,/mnt/research/xprize/plant-training-data/plants_photos/original/702154_original.jpg
152,702161,1,1,1,5,48,93,104,/mnt/research/xprize/plant-training-data/plants_photos/original/702161_original.jpg
153,702165,1,1,1,5,11,44,105,/mnt/research/xprize/plant-training-data/plants_photos/original/702165_original.jpg
154,702173,1,1,1,26,49,94,106,/mnt/research/xprize/plant-training-data/plants_photos/original/702173_original.jpg
155,702176,1,1,1,18,50,95,107,/mnt/research/xprize/plant-training-data/plants_photos/original/702176_original.jpg
156,702177,1,1,1,18,51,96,108,/mnt/research/xprize/plant-training-data/plants_photos/original/702177_original.jpg
157,702178,1,1,1,7,9,14,44,/mnt/research/xprize/plant-training-data/plants_photos/original/702178_original.jpg
158,702179,1,1,1,1,1,97,109,/mnt/research/xprize/plant-training-data/plants_photos/original/702179_original.jpg
159,702180,1,1,1,5,33,60,110,/mnt/research/xprize/plant-training-data/plants_photos/original/702180_original.jpg
160,702181,1,1,1,5,33,60,110,/mnt/research/xprize/plant-training-data/plants_photos/original/702181_original.jpg
161,702182,1,1,1,18,50,98,111,/mnt/research/xprize/plant-training-data/plants_photos/original/702182_original.jpg
162,702189,1,1,1,5,48,93,104,/mnt/research/xprize/plant-training-data/plants_photos/original/702189_original.jpg
163,702190,1,1,1,5,7,22,112,/mnt/research/xprize/plant-training-data/plants_photos/original/702190_original.jpg
164,702191,1,1,1,5,33,80,113,/mnt/research/xprize/plant-training-data/plants_photos/original/702191_original.jpg
165,702192,1,1,1,19,30,81,90,/mnt/research/xprize/plant-training-data/plants_photos/original/702192_original.jpg
166,702197,1,1,1,8,52,99,114,/mnt/research/xprize/plant-training-data/plants_photos/original/702197_original.jpg
167,703865,1,1,1,2,2,100,115,/mnt/research/xprize/plant-training-data/plants_photos/original/703865_original.jpg
168,703867,1,1,1,5,11,101,116,/mnt/research/xprize/plant-training-data/plants_photos/original/703867_original.jpg
169,703870,1,1,1,19,30,102,117,/mnt/research/xprize/plant-training-data/plants_photos/original/703870_original.jpg
170,703872,1,1,1,17,27,103,118,/mnt/research/xprize/plant-training-data/plants_photos/original/703872_original.jpg
171,703873,1,1,1,2,2,104,119,/mnt/research/xprize/plant-training-data/plants_photos/original/703873_original.jpg
172,703874,1,1,1,2,2,105,120,/mnt/research/xprize/plant-training-data/plants_photos/original/703874_original.jpg
173,703875,1,1,1,2,2,105,120,/mnt/research/xprize/plant-training-data/plants_photos/original/703875_original.jpg
174,703881,1,1,1,10,53,106,121,/mnt/research/xprize/plant-training-data/plants_photos/original/703881_original.jpg
175,703882,1,1,1,18,54,107,122,/mnt/research/xprize/plant-training-data/plants_photos/original/703882_original.jpg
176,703884,1,1,1,20,55,108,123,/mnt/research/xprize/plant-training-data/plants_photos/original/703884_original.jpg
177,703885,1,1,2,3,3,109,124,/mnt/research/xprize/plant-training-data/plants_photos/original/703885_original.jpg
178,703886,1,1,1,5,33,60,65,/mnt/research/xprize/plant-training-data/plants_photos/original/703886_original.jpg
179,703891,1,1,1,10,29,110,125,/mnt/research/xprize/plant-training-data/plants_photos/original/703891_original.jpg
180,703892,1,1,1,5,33,111,126,/mnt/research/xprize/plant-training-data/plants_photos/original/703892_original.jpg
181,703893,1,1,1,20,41,77,85,/mnt/research/xprize/plant-training-data/plants_photos/original/703893_original.jpg
182,703894,1,1,1,20,41,112,127,/mnt/research/xprize/plant-training-data/plants_photos/original/703894_original.jpg
183,703898,1,1,1,10,32,113,128,/mnt/research/xprize/plant-training-data/plants_photos/original/703898_original.jpg
184,703899,1,1,1,19,39,114,129,/mnt/research/xprize/plant-training-data/plants_photos/original/703899_original.jpg
185,703900,1,1,1,19,39,114,129,/mnt/research/xprize/plant-training-data/plants_photos/original/703900_original.jpg
186,703905,1,1,1,7,21,115,130,/mnt/research/xprize/plant-training-data/plants_photos/original/703905_original.jpg
187,703920,1,1,4,27,56,116,131,/mnt/research/xprize/plant-training-data/plants_photos/original/703920_original.jpg
188,703934,1,1,1,20,57,117,132,/mnt/research/xprize/plant-training-data/plants_photos/original/703934_original.jpg
189,703942,1,1,2,9,12,20,133,/mnt/research/xprize/plant-training-data/plants_photos/original/703942_original.jpg
190,703956,1,1,1,19,39,71,77,/mnt/research/xprize/plant-training-data/plants_photos/original/703956_original.jpg
191,703957,1,1,1,2,2,118,134,/mnt/research/xprize/plant-training-data/plants_photos/original/703957_original.jpg
192,703958,1,1,1,2,2,118,134,/mnt/research/xprize/plant-training-data/plants_photos/original/703958_original.jpg
193,703960,1,1,1,5,33,119,135,/mnt/research/xprize/plant-training-data/plants_photos/original/703960_original.jpg
194,703963,1,1,1,5,11,120,136,/mnt/research/xprize/plant-training-data/plants_photos/original/703963_original.jpg
195,703968,1,1,1,2,26,121,137,/mnt/research/xprize/plant-training-data/plants_photos/original/703968_original.jpg
196,703982,1,1,1,11,14,23,138,/mnt/research/xprize/plant-training-data/plants_photos/original/703982_original.jpg
197,704011,1,1,1,20,35,122,139,/mnt/research/xprize/plant-training-data/plants_photos/original/704011_original.jpg
198,704015,1,1,1,19,58,123,140,/mnt/research/xprize/plant-training-data/plants_photos/original/704015_original.jpg
199,704017,1,1,2,3,4,124,141,/mnt/research/xprize/plant-training-data/plants_photos/original/704017_original.jpg
200,704018,1,1,2,14,19,125,142,/mnt/research/xprize/plant-training-data/plants_photos/original/704018_original.jpg
201,704021,1,1,1,5,7,126,143,/mnt/research/xprize/plant-training-data/plants_photos/original/704021_original.jpg
202,704025,1,1,2,28,59,127,144,/mnt/research/xprize/plant-training-data/plants_photos/original/704025_original.jpg
203,704026,1,1,2,28,59,128,145,/mnt/research/xprize/plant-training-data/plants_photos/original/704026_original.jpg
204,704028,1,1,1,5,7,129,146,/mnt/research/xprize/plant-training-data/plants_photos/original/704028_original.jpg
205,704030,1,1,5,29,60,130,147,/mnt/research/xprize/plant-training-data/plants_photos/original/704030_original.jpg
206,704042,1,1,1,5,33,119,135,/mnt/research/xprize/plant-training-data/plants_photos/original/704042_original.jpg
207,704044,1,1,1,5,42,131,148,/mnt/research/xprize/plant-training-data/plants_photos/original/704044_original.jpg
208,705669,1,1,1,30,61,132,149,/mnt/research/xprize/plant-training-data/plants_photos/original/705669_original.jpg
209,705670,1,1,1,4,5,5,5,/mnt/research/xprize/plant-training-data/plants_photos/original/705670_original.jpg
210,1294278,1,1,1,4,5,5,5,/mnt/research/xprize/plant-training-data/plants_photos/original/1294278_original.jpg
211,705671,1,1,1,1,1,97,109,/mnt/research/xprize/plant-training-data/plants_photos/original/705671_original.jpg
212,705672,1,1,1,1,1,97,109,/mnt/research/xprize/plant-training-data/plants_photos/original/705672_original.jpg
213,706824,1,1,1,6,23,42,150,/mnt/research/xprize/plant-training-data/plants_photos/original/706824_original.jpg
214,706835,1,1,1,8,10,15,15,/mnt/research/xprize/plant-training-data/plants_photos/original/706835_original.jpg
215,706836,1,1,1,4,5,133,151,/mnt/research/xprize/plant-training-data/plants_photos/original/706836_original.jpg
216,706840,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/706840_original.jpg
217,706970,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/706970_original.jpg
218,706971,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/706971_original.jpg
219,706972,1,1,1,7,9,14,14,/mnt/research/xprize/plant-training-data/plants_photos/original/706972_original.jpg
220,706842,1,1,1,19,30,134,152,/mnt/research/xprize/plant-training-data/plants_photos/original/706842_original.jpg
221,706846,1,1,1,4,5,135,153,/mnt/research/xprize/plant-training-data/plants_photos/original/706846_original.jpg
222,706848,1,1,1,6,23,136,154,/mnt/research/xprize/plant-training-data/plants_photos/original/706848_original.jpg
223,706852,1,1,1,4,5,38,40,/mnt/research/xprize/plant-training-data/plants_photos/original/706852_original.jpg
224,706855,1,1,1,8,62,137,155,/mnt/research/xprize/plant-training-data/plants_photos/original/706855_original.jpg
225,706856,1,1,3,31,63,138,156,/mnt/research/xprize/plant-training-data/plants_photos/original/706856_original.jpg
226,706858,1,1,1,20,41,77,157,/mnt/research/xprize/plant-training-data/plants_photos/original/706858_original.jpg
227,706859,1,1,1,10,34,61,158,/mnt/research/xprize/plant-training-data/plants_photos/original/706859_original.jpg
228,706860,1,1,1,8,62,137,155,/mnt/research/xprize/plant-training-data/plants_photos/original/706860_original.jpg
229,706873,1,1,1,7,18,28,159,/mnt/research/xprize/plant-training-data/plants_photos/original/706873_original.jpg
230,706874,1,1,1,7,18,28,30,/mnt/research/xprize/plant-training-data/plants_photos/original/706874_original.jpg
231,706875,1,1,2,25,64,139,160,/mnt/research/xprize/plant-training-data/plants_photos/original/706875_original.jpg
232,706876,1,1,1,7,18,28,30,/mnt/research/xprize/plant-training-data/plants_photos/original/706876_original.jpg
233,706879,1,1,1,19,30,140,161,/mnt/research/xprize/plant-training-data/plants_photos/original/706879_original.jpg
234,707232,1,1,1,7,24,141,162,/mnt/research/xprize/plant-training-data/plants_photos/original/707232_original.jpg
235,707234,1,1,1,2,2,105,163,/mnt/research/xprize/plant-training-data/plants_photos/original/707234_original.jpg
236,707235,1,1,1,5,11,16,16,/mnt/research/xprize/plant-training-data/plants_photos/original/707235_original.jpg
237,707238,1,1,1,5,7,142,164,/mnt/research/xprize/plant-training-data/plants_photos/original/707238_original.jpg
238,707240,1,1,1,12,15,143,165,/mnt/research/xprize/plant-training-data/plants_photos/original/707240_original.jpg
239,707241,1,1,1,12,15,143,165,/mnt/research/xprize/plant-training-data/plants_photos/original/707241_original.jpg
240,707242,1,1,1,12,15,144,166,/mnt/research/xprize/plant-training-data/plants_photos/original/707242_original.jpg
241,707244,1,1,1,30,61,132,149,/mnt/research/xprize/plant-training-data/plants_photos/original/707244_original.jpg
242,707245,1,1,2,9,12,145,167,/mnt/research/xprize/plant-training-data/plants_photos/original/707245_original.jpg
243,707247,1,1,2,24,65,146,168,/mnt/research/xprize/plant-training-data/plants_photos/original/707247_original.jpg
244,707248,1,1,1,7,9,14,44,/mnt/research/xprize/plant-training-data/plants_photos/original/707248_original.jpg
245,707251,1,1,1,2,66,147,169,/mnt/research/xprize/plant-training-data/plants_photos/original/707251_original.jpg
246,707252,1,1,1,5,7,126,170,/mnt/research/xprize/plant-training-data/plants_photos/original/707252_original.jpg
247,707253,1,1,1,30,67,148,171,/mnt/research/xprize/plant-training-data/plants_photos/original/707253_original.jpg
248,707255,1,1,1,10,29,149,172,/mnt/research/xprize/plant-training-data/plants_photos/original/707255_original.jpg
249,707257,1,1,1,5,7,19,173,/mnt/research/xprize/plant-training-data/plants_photos/original/707257_original.jpg
250,707258,1,1,1,10,68,150,174,/mnt/research/xprize/plant-training-data/plants_photos/original/707258_original.jpg
251,707261,1,1,2,3,3,151,175,/mnt/research/xprize/plant-training-data/plants_photos/original/707261_original.jpg
252,707262,1,1,1,32,69,152,176,/mnt/research/xprize/plant-training-data/plants_photos/original/707262_original.jpg
253,707273,1,1,2,3,4,54,177,/mnt/research/xprize/plant-training-data/plants_photos/original/707273_original.jpg
254,707274,1,1,2,3,4,54,178,/mnt/research/xprize/plant-training-data/plants_photos/original/707274_original.jpg
255,707275,1,1,1,11,14,23,179,/mnt/research/xprize/plant-training-data/plants_photos/original/707275_original.jpg
256,707277,1,1,1,4,70,153,180,/mnt/research/xprize/plant-training-data/plants_photos/original/707277_original.jpg
257,707278,1,1,1,5,7,22,22,/mnt/research/xprize/plant-training-data/plants_photos/original/707278_original.jpg
